Ja,Neutral,Nein
0.26,99.73,0.01
0.00,100.00,0.00
93.04,6.95,0.00
0.00,0.02,99.98
99.64,0.36,0.00
0.02,99.95,0.03
90.73,9.27,0.00
98.64,1.36,0.00
0.00,93.44,6.56
60.76,39.23,0.00
0.00,99.99,0.01
0.31,99.69,0.00
74.30,25.68,0.02
100.00,0.00,0.00
100.00,0.00,0.00
0.07,99.93,0.00
0.01,99.99,0.00
71.22,28.78,0.00
0.16,66.43,33.41
0.10,99.89,0.01
100.00,0.00,0.00
0.00,99.96,0.03
0.01,99.99,0.00
78.79,21.21,0.00
0.00,1.28,98.72
8.04,91.96,0.00
0.03,99.97,0.00
93.44,6.56,0.00
0.00,99.93,0.07
99.39,0.61,0.00
100.00,0.00,0.00
100.00,0.00,0.00
17.33,82.67,0.00
0.02,99.98,0.00
0.05,99.94,0.01
30.73,69.26,0.00
82.21,17.78,0.01
99.98,0.02,0.00
