Ja,Neutral,Nein
0.11,99.88,0.01
0.00,100.00,0.00
94.16,5.83,0.00
0.00,0.02,99.98
99.93,0.07,0.00
0.01,99.97,0.02
97.16,2.84,0.00
99.52,0.48,0.00
0.00,98.14,1.85
13.66,86.33,0.00
0.00,99.96,0.04
0.10,99.90,0.00
56.19,43.76,0.05
100.00,0.00,0.00
100.00,0.00,0.00
0.51,99.49,0.00
0.02,99.98,0.00
75.49,24.51,0.00
0.09,65.78,34.13
0.13,99.86,0.01
100.00,0.00,0.00
0.00,99.97,0.03
0.04,99.96,0.00
89.62,10.37,0.00
0.00,1.36,98.64
0.29,99.71,0.00
0.05,99.95,0.00
92.84,7.16,0.00
0.00,99.94,0.06
98.87,1.13,0.00
100.00,0.00,0.00
100.00,0.00,0.00
62.98,37.02,0.00
0.02,99.97,0.00
0.20,99.74,0.06
39.98,60.02,0.00
59.26,40.73,0.02
100.00,0.00,0.00
