Ja,Neutral,Nein
1.24,98.74,0.02
0.00,100.00,0.00
90.19,9.81,0.00
0.00,0.01,99.99
99.48,0.52,0.00
0.01,99.97,0.02
98.36,1.64,0.00
98.55,1.45,0.00
0.00,64.42,35.58
14.80,85.19,0.00
0.00,99.99,0.01
0.10,99.90,0.00
81.26,18.71,0.03
100.00,0.00,0.00
100.00,0.00,0.00
0.37,99.63,0.00
0.01,99.99,0.00
36.30,63.70,0.00
0.08,52.30,47.62
0.11,99.88,0.01
100.00,0.00,0.00
0.00,99.96,0.04
0.01,99.99,0.00
99.24,0.76,0.00
0.00,1.45,98.55
5.66,94.33,0.00
0.08,99.92,0.00
99.17,0.83,0.00
0.00,99.97,0.03
99.69,0.31,0.00
100.00,0.00,0.00
99.99,0.01,0.00
68.59,31.40,0.00
0.01,99.99,0.00
0.24,99.66,0.11
12.59,87.40,0.00
98.46,1.54,0.00
99.99,0.01,0.00
