,Ja,Neutral,Nein
0,0.16,99.83,0.01
1,0.0,100.0,0.0
2,97.97,2.03,0.0
3,0.0,0.01,99.99
4,99.97,0.03,0.0
5,0.02,99.95,0.04
6,88.08,11.92,0.0
7,91.24,8.76,0.0
8,0.0,65.84,34.16
9,65.84,34.16,0.0
10,0.0,99.99,0.01
11,0.45,99.55,0.0
12,66.51,33.45,0.04
13,100.0,0.0,0.0
14,100.0,0.0,0.0
15,0.0,100.0,0.0
16,0.03,99.97,0.0
17,50.78,49.22,0.0
18,0.11,75.4,24.48
19,0.26,99.74,0.01
20,100.0,0.0,0.0
21,0.0,99.97,0.02
22,0.01,99.99,0.0
23,78.79,21.21,0.0
24,0.0,4.08,95.92
25,1.8,98.2,0.0
26,0.11,99.89,0.0
27,97.56,2.44,0.0
28,0.0,99.96,0.04
29,99.94,0.06,0.0
30,100.0,0.0,0.0
31,99.99,0.01,0.0
32,74.91,25.09,0.0
33,0.03,99.97,0.0
34,0.11,99.87,0.02
35,41.49,58.51,0.0
36,97.77,2.23,0.0
37,100.0,0.0,0.0
